Strategy,Tradingview Time,Real Time,Symbol,Amount,Trade Type,TradingView Price,Price,Total USDT
guppy,2021-04-07T02:15:09Z,2021-04-08 17:04:25.108908,ETHUSDT,0.046296296296296294,BUY,2098.18,2052.0,100.0
guppy,2021-04-07T02:15:09Z,2021-04-08 17:04:28.468640,ETHUSDT,0.043981481481481476,SELL,2098.18,2052.0,99.99953703703702
fred,2021-04-07T02:15:09Z,2021-04-08 17:21:42.967586,ETHUSDT,0.04635570931554576,BUY,2098.18,2049.37,100.0
fred,2021-04-07T02:15:09Z,2021-04-08 17:21:49.050201,ETHUSDT,0.04403792384976847,SELL,2098.18,2048.83,99.97450435987646
